한글 이름,영문 이름,제품 설명,제품 영양 정보,1회 제공량(kcal),포화지방(g),단백질(g),지방(g),트랜스지방(g),나트륨(mg),당류(g),카페인(mg),콜레스테롤(mg),탄수화물(g)
스모크드 콜드 패션드,Smoked Cold Fashioned,스모키한 위스키의 풍미와 초콜릿 풍미의 리저브 커피가 어우러진 칵테일처럼 즐기는 콜드 브루 음료,Tall(톨) /355ml,30,0,0,0,0,0,6,135,0,5
시그니처 더 블랙 콜드 브루,Signature The Black Cold Brew,콜드 브루 전용 원두를 차가운 물로 매장에서 직접추출하여 부드럽고 진한 풍미의 콜드브루를언제 어디서나 편하게 즐겨보세요 (전용 보틀 /500ml),Bottle(보틀) /500ml,25,0,0,0,0,50,0,680,0,0
여수 윤슬 헤이즐넛 콜드브루,Yeosu Shining Hazelnut Cold Brew,"햇빛이나 달빛에 비치어 반짝이는 잔물결이라는""윤슬""을 형상화한 헤이즐넛 콜드브루",,240,9,5,12,0,80,27,53,15,28
오트 콜드 브루,Oat Cold Brew,콜드 브루의 풍미와 깔끔한 오트음료(식물성 대체유)가 어우러진 달콤 고소한 라떼.식물성 대체유를 사용해 모든 고객이 부담없이 즐길 수 있는 콜드 브루 음료,Tall(톨) /355ml,120,0.3,1,3.6,0,95,14,65,0,20
제주 비자림 리저브 콜드 브루,Jeju Forest Reserve Cold Brew,리저브 콜드브루에 말차 돌체 베이스를 추가하여 제주 천년의 숲 비자림을 표현한 음료,Grande(그란데) /473ml,205,4.1,8,7,0,100,26,250,20,28
콜드 브루,Cold Brew,스타벅스 바리스타의 정성으로 만들어진 콜드브루! 콜드브루 전용 원료로 정교하게 완성된 부드러운 산미와 깊은 바디감의 초콜릿 풍미 커피,Tall(톨) /355ml,5,0,0,0,0,11,0,155,0,0
콜드 브루,Cold Brew,스타벅스 바리스타의 정성으로 탄생한 콜드 브루!콜드 브루 전용 원두를 차가운 물로 추출하여 한정된 양만 제공됩니다.실크같이 부드럽고 그윽한 초콜릿 풍미의 콜드 브루를 만나보세요!,Trenta(트렌타) /887ml,5,0,0,0,0,25,0,360,0,0
콜드 브루 몰트,Cold Brew Malt,"[리저브 전용음료] 리저브 콜드 브루, 바닐라 아이스크림, 몰트가 블렌딩된 리저브만의 쉐이크",Tall(톨) /355ml,505,20,7,30,0,150,41,190,40,51
콜드 브루 플로트,Cold Brew Float,[리저브 전용음료] 리저브 콜드 브루 위에 녹아 내리는 한 스쿱의 바닐라 아이스크림,Tall(톨) /355ml,225,10,3,15,0,70,18,190,20,21
브루드 커피,Brewed Coffee,"시즌에 어울리는 원두 종류를 선정하여 신선하게 브루드(Brewed)되어 제공되는 드립커피로, 원두 커피의 풍부한 맛과 향을 따뜻하게 즐기실 수 있습니다.",Tall(톨) /355ml,5,0,0,0,0,15,0,260,0,0
아이스 브루드 커피,Iced Brewed Coffee,"시즌에 어울리는 원두 종류를 선정하여 드립 방식으로 추출한 후 얼음과 함께 제공하는 커피로, 원두 커피의 풍부하고 깔끔한 맛을 느끼실 수 있습니다.",Tall(톨) /355ml,5,0,0,0,0,10,0,140,0,0
아이스 윈터 스카치 바닐라 라떼,Iced Winter Scotch Vanilla Latte,"겨울에 즐기기 완벽한 라떼,버터 스카치 풍미에 진한 에스프레소와버터 스카치 커피 크림이 더해져커피의 풍미를 더 진하게 즐길 수 있는 음료",Tall(톨) /355ml,235,7,6,11,0,140,22,100,20,29
아이스 토피 넛 라떼,Iced Toffee Nut Latte,"스타벅스의 겨울 시그니처 음료버터 향이 은은하게 느껴지는 토피와 고소한 견과류의 풍미,진한 에스프레소가 어우러진 크리스마스 시즌 음료",Tall(톨) /355ml,255,10,6,13,0,180,28,75,20,29
윈터 스카치 바닐라 라떼,Winter Scotch Vanilla Latte,"겨울에 즐기기 완벽한 라떼,버터 스카치 풍미에 진한 에스프레소와버터 스카치 커피 크림이 더해져커피의 풍미를 더 진하게 즐길 수 있는 음료",Tall(톨) /355ml,280,9,8,13,0,180,26,100,25,33
토피 넛 라떼,Toffee Nut Latte,"스타벅스의 겨울 시그니처 음료버터 향이 은은하게 느껴지는 토피와 고소한 견과류의 풍미,진한 에스프레소가 어우러진 크리스마스 시즌 음료",Tall(톨) /355ml,285,10,8,13,0,220,31,75,25,33
에스프레소 콘 파나,Espresso Con Panna,"신선한 에스프레소 샷에 풍부한 휘핑크림을 얹은 커피 음료로서, 뜨거운 커피의 맛과 차갑고 달콤한 생크림의 맛을 같이 즐길 수 있는 커피 음료",Solo(솔로) /22ml,30,2,1,2.4,0,5,0,75,0,1
에스프레소 마키아또,Espresso Macchiato,"신선한 에스프레소 샷에 우유 거품을 살짝 얹은 커피 음료로써, 강렬한 에스프레소의 맛과 우유의 부드러움을 같이 즐길 수 있는 커피 음료",Solo(솔로) /22ml,10,0,0,0,0,0,0,75,0,1
스타벅스 1호점 카페 아메리카노,Starbucks 1st Store Caffe Americano,풍부하고 부드러운 바디감의 별다방 블렌드 원두로 내린 에스프레소와 뜨거운 물을 섞어 깔끔하게 즐길 수 있는 스타벅스 이대점만의 블랙 커피 음료,,10,0,1,0,0,0,0,210,0,2
아이스 스타벅스 1호점 카페 아메리카노,Iced Starbucks 1st Store Caffe Americano,풍부하고 부드러운 바디감의 별다방 블렌드 원두로 내린 에스프레소와 얼음과 물을 섞어 시원하고 깔끔하게 즐길 수 있는 스타벅스 이대점만의 블랙 커피 음료,,10,0,1,0,0,0,0,210,0,2
아이스 카페 아메리카노,Iced Caffe Americano,진한 에스프레소에 시원한 정수물과 얼음을 더하여 스타벅스의 깔끔하고 강렬한 에스프레소를 가장 부드럽고 시원하게 즐길 수 있는 커피,Tall(톨) /355ml,10,0,1,0,0,5,0,150,0,2
카페 아메리카노,Caffe Americano,진한 에스프레소와 뜨거운 물을 섞어 스타벅스의 깔끔하고 강렬한 에스프레소를 가장 부드럽게 잘 느낄 수 있는 커피,Tall(톨) /355ml,10,0,1,0,0,5,0,150,0,2
아이스 카라멜 마키아또,Iced Caramel Macchiato,향긋한 바닐라 시럽과 시원한 우유에 얼음을 넣고 점을 찍듯이 에스프레소를 부은 후 벌집 모양으로 카라멜 드리즐을 올린 달콤한 커피 음료,Tall(톨) /355ml,190,4.6,6,8,0,110,22,75,20,23
카라멜 마키아또,Caramel Macchiato,향긋한 바닐라 시럽과 따뜻한 스팀 밀크 위에 풍성한 우유 거품을 얹고 점을 찍듯이 에스프레소를 부은 후 벌집 모양으로 카라멜 드리즐을 올린 달콤한 커피 음료,Tall(톨) /355ml,200,5,8,9,0,130,22,75,25,24
아이스 카푸치노,Iced Cappuccino,풍부하고 진한 에스프레소에 신선한 우유와 우유 거품이 얼음과 함께 들어간 시원하고 부드러운 커피 음료,Tall(톨) /355ml,110,3.5,6,6,0,90,9,75,20,10
카푸치노,Cappuccino,풍부하고 진한 에스프레소에 따뜻한 우유와 벨벳 같은 우유 거품이 1:1 비율로 어우러져 마무리된 커피 음료,Tall(톨) /355ml,110,3,6,6,0,70,8,75,15,9
라벤더 카페 브레베,Lavender Cafe Breve,진한 리저브 에스프레소 샷과 은은한 라벤더향이 고급스럽게 어우러진 부드럽고 세련된 풍미의 라벤더 카페 브레베,Tall(톨) /355ml,400,22,8,27,0,140,30,105,25,31
밀크카라멜 라떼,Milk Caramel Latte,부드럽고 달콤한 밀크카라멜의 은은한 풍미와 풍부한 질감을 느낄 수 있는 특별한 우유가 만나 언제나 편안하게 즐길 수 있는 라떼입니다.,Tall(톨) /355ml,310,13,8,17,0,280,22,75,25,31
바닐라 라떼,Vanilla Latte,"달콤한 바닐라의 향을 풍부하고 진한 에스프레소, 부드러운 우유와 함께 즐길 수 있는 라떼입니다.",Tall(톨) /355ml,210,5,8,9,0,130,24,75,25,25
바닐라 빈 라떼,Vanilla Bean Latte,리저브만을 위한 바닐라 빈 시럽이 부드럽게 어우러진 카페 라떼,Tall(톨) /355ml,245,6,9,9,0,150,27,210,30,29
번트 카라멜 라떼,Burnt Caramel Latte,리저브 에스프레소 커피와 번트 카라멜의 깊고 달콤한 풍미가 어우러진 라떼 음료,Tall(톨) /355ml,380,13,12,20,0,250,30,210,35,37
블랙 글레이즈드 라떼,Black Glazed Latte,가을 시즌 대표 음료! 돌아온 블랙 글레이즈드 라떼짙고 풍부한 커피와 달콤하고 부드러운 글레이즈드 폼의 조화가 돋보이는 음료,Tall(톨) /355ml,330,10,9,15,0,200,34,75,35,38
사케라또 비안코 오버 아이스,Shakerato Bianco Over Ice,얼음과 같이 쉐이킹하여 차가워진 진한 리저브 에스프레소와 하우스 메이드 크림이 어우러진 달콤한 음료,Tall(톨) /355ml,270,18,3,21,0,45,14,315,10,17
스타벅스 1호점 카페 라떼,Starbucks 1st Store Caffe Latte,풍부하고 부드러운 바디감의 별다방 블렌드 원두로 내린 에스프레소와 신선한 우유를 스팀하여 커피 위에 우유 거품을 살짝 얹은 스타벅스 이대점만의 카페 라떼 음료,,200,6,10,10,0,150,15,210,30,17
스타벅스 1호점 크림 라떼,Starbucks 1st Store Cream Latte,"""Coffee & Tea & Spice""스타벅스 첫번째 로고에서 착안한 음료로 스파이시한 향의 달콤하고 부드러운 커피 차이 크림폼, 풍부한 바디감의 별다방 블렌드 원두를 사용한 깊고 부드러운 크림 라떼 음료",,215,12,2,14,0,25,19,210,5,20
스타벅스 꿀 호떡 라떼,Starbucks Honey Hotteok Latte,한국의 대표 길거리 음식의 친근하고 익숙한 호떡을형상화한 음료로 어린시절 추억이 느껴지는 커피 음료시나몬향과 고소한 견과류가 느껴지는 음료,Tall(톨) /355ml,360,11,10,18,0,150,23,75,30,45
스타벅스 돌체 라떼,Starbucks Dolce Latte,스타벅스의 다른 커피 음료보다 더욱 깊은 커피의 맛과 향에 깔끔한 무지방 우유와 부드러운 돌체 시럽이 들어간 음료로 달콤하고 진한 커피 라떼,Tall(톨) /355ml,215,2,12,3.1,0,190,32,150,10,34
아이스 라벤더 카페 브레베,Iced Lavender Cafe Breve,진한 리저브 에스프레소 샷과 은은한 라벤더향이 고급스럽게 어우러진 부드럽고 세련된 풍미의 라벤더 카페 브레베,Tall(톨) /355ml,335,18,6,22,0,110,27,105,20,28
아이스 밀크카라멜 라떼,Iced Milk Caramel Latte,부드럽고 달콤한 밀크카라멜의 은은한 풍미와 풍부한 질감을 느낄 수 있는 특별한 우유가 만나 언제나 편안하게 즐길 수 있는 라떼입니다.,Tall(톨) /355ml,240,10,5,13,0,220,17,75,15,26
아이스 바닐라 라떼,Iced Vanilla Latte,"달콤한 바닐라의 향을 풍부하고 진한 에스프레소, 부드러운 우유와 함께 즐길 수 있는 라떼입니다.",Tall(톨) /355ml,150,3.2,5,5,0,80,19,75,15,20
아이스 바닐라 빈 라떼,Iced Vanilla Bean Latte,리저브만을 위한 바닐라 빈 시럽이 부드럽게 어우러진 카페 라떼,Tall(톨) /355ml,155,2.9,5,4.8,0,75,20,210,15,22
아이스 블랙 글레이즈드 라떼,Iced Black Glazed Latte,가을 시즌 대표 음료! 돌아온 블랙 글레이즈드 라떼짙고 풍부한 커피와 달콤하고 부드러운 글레이즈드 폼의 조화가 돋보이는 음료,Tall(톨) /355ml,285,8,6,13,0,150,30,75,25,34
아이스 스타벅스 1호점 카페 라떼,Iced Starbucks 1st Store Caffe Latte,풍부하고 부드러운 바디감의 별다방 블렌드 원두로 내린 에스프레소와 신선한 우유와 얼음이 만나 고소함과 시원함을 즐길 수 있는 스타벅스 이대점만의 카페 라떼 음료,,110,3.2,6,5,0,80,8,210,15,10
아이스 스타벅스 1호점 크림 라떼,Iced Starbucks 1st Store Cream Latte,"""Coffee & Tea & Spice""스타벅스 첫번째 로고에서 착안한 음료로 스파이시한 향의 달콤하고 부드러운 커피 차이 크림폼, 풍부한 바디감의 별다방 블렌드 원두를 사용한 깊고 부드러운 크림 라떼 음료",,215,12,2,14,0,25,19,210,5,20
아이스 스타벅스 꿀 호떡 라떼,Iced Starbucks Honey Hotteok Latte,한국의 대표 길거리 음식의 친근하고 익숙한 호떡을형상화한 음료로 어린시절 추억이 느껴지는 커피 음료시나몬향과 고소한 견과류가 느껴지는 음료,Tall(톨) /355ml,290,10,6,16,0,80,16,75,15,38
아이스 스타벅스 돌체 라떼,Iced Starbucks Dolce Latte,스타벅스의 다른 커피 음료보다 더욱 깊은 커피의 맛과 향에 깔끔한 무지방 우유와 부드러운 돌체 시럽이 들어간 음료로 달콤하고 진한 커피 라떼,Tall(톨) /355ml,190,2,10,3.1,0,140,28,150,10,30
아이스 인절미 크림 라떼,Iced Injeolmi Cream Latte,고소하고 쌉싸름한 맛의 콩고물과 쫀득한 식감의 인절미 젤리를 달콤한 크림이 얹어진 커피와 함께 즐길 수 있는 라떼,Tall(톨) /355ml,455,16,9,23,0,180,43,75,15,53
아이스 카페 라떼,Iced Caffe Latte,"*카페 라떼에 ""바닐라 시럽""추가를 원하시는 고객님께서는 ""바닐라 라떼""로 주문바랍니다*두유(Soy) 바닐라 라떼를 원하시는 고객님께서는 ""바닐라 라떼""에서 두유 변경을 선택해주세요.풍부하고 진한 농도의 에스프레소가 시원한 우유와 얼음을 만나 고소함과 시원함을 즐길 수 있는 대표적인 커피 라떼",Tall(톨) /355ml,110,3.5,6,6,0,75,8,75,20,9
인절미 크림 라떼,Injeolmi Cream Latte,고소하고 쌉싸름한 맛의 콩고물과 쫀득한 식감의 인절미 젤리를 달콤한 크림이 얹어진 커피와 함께 즐길 수 있는 라떼,Tall(톨) /355ml,530,19,12,27,0,250,49,75,25,59
제주 비자림 리저브 에스프레소 라떼,Jeju Forest Reserve Espresso Latte,"리저브 원두로 만든 라떼에 말차 돌체 베이스를 추가하여 제주 천년의 숲 비자림을 표현한 라떼. 오직 송당에서만 만날 수 있는 음료로, 따뜻한 비자림의 풍미를 느껴보세요.",Tall(톨) /355ml,240,7,10,10,0,160,22,210,30,26
카페 라떼,Caffe Latte,"*카페 라떼에 ""바닐라 시럽""추가를 원하시는 고객님께서는 ""바닐라 라떼""로 주문바랍니다*두유(Soy) 바닐라 라떼를 원하시는 고객님께서는 ""바닐라 라떼""에서 두유 변경을 선택해주세요.풍부하고 진한 에스프레소가 신선한 스팀 밀크를 만나 부드러워진 커피 위에 우유 거품을 살짝 얹은 대표적인 커피 라떼",Tall(톨) /355ml,180,5,10,9,0,115,13,75,30,14
코르타도,Cortado,진하면서도 부드러운 블론드 리스트레토 3샷에 폼을 살짝 낸 스팀 밀크를 더해 짙은 커피 풍미를 즐길 수 있는 코르타도입니다.,Short(숏) /237ml,115,3.2,6,5,0,85,8,255,15,11
아이스 카페 모카,Iced Caffe Mocha,진한 초콜릿 모카 시럽과 풍부한 에스프레소를 신선한 우유 그리고 얼음과 섞어 휘핑크림으로 마무리한 음료로 진한 에스프레소와 초콜릿 맛이 어우러진 커피,Tall(톨) /355ml,250,8,7,14,0,70,21,95,45,28
아이스 화이트 초콜릿 모카,Iced White Chocolate Mocha,달콤하고 부드러운 화이트 초콜릿 시럽과 에스프레소를 신선한 우유 그리고 얼음과 섞어 휘핑크림으로 마무리한 음료로 달콤함과 강렬한 에스프레소가 부드럽게 어우러진 커피,Tall(톨) /355ml,300,10,8,16,0,150,31,75,20,32
카페 모카,Caffe Mocha,진한 초콜릿 모카 시럽과 풍부한 에스프레소를 스팀 밀크와 섞어 휘핑크림으로 마무리한 음료로 진한 에스프레소와 초콜릿 맛이 어우러진 커피,Tall(톨) /355ml,290,9,10,15,0,105,25,95,45,33
클래식 민트 모카,Classic Mint Mocha,스타벅스의 클래식인 페퍼민트 모카를 떠올리게 하는 리저브만의 에스프레소 음료오트음료(식물성 대체유)의 고소함과 다크 초콜릿의 쌉쌀함이 특징인 음료입니다,Grande(그란데) /473ml,335,0.7,4,8,0,200,43,210,0,62
화이트 초콜릿 모카,White Chocolate Mocha,달콤하고 부드러운 화이트 초콜릿 시럽과 에스프레소를 스팀 밀크와 섞어 휘핑크림으로 마무리한 음료로 달콤함과 강렬한 에스프레소가 부드럽게 어우러진 커피,Tall(톨) /355ml,350,10,11,18,0,200,37,75,30,38
아이스 플랫 화이트,Iced Flat White,"부드러운 리스트레토 샷과 완벽한 양의 우유를 더해, 카페 라떼보다 커피의 맛을 진하게 즐길 수 있는 에스프레소 음료입니다.",Tall(톨) /355ml,120,3.5,6,6,0,90,9,130,20,11
플랫 화이트,Flat White,"부드러운 리스트레토 샷과 완벽한 양의 스팀밀크를 더해, 카페 라떼보다 커피의 맛을 진하게 즐길 수 있는 에스프레소 음료입니다.",Tall(톨) /355ml,170,5,8,8,0,130,13,130,25,15
바닐라 스타벅스 더블 샷,Vanilla Starbucks Double Shot,"신선하게 제조된 더블 샷 믹스에 바닐라 시럽을 넣고 에스프레소 샷, 얼음이 어우러져 핸드 쉐이킹한 음료",207ml,125,4.5,2,6,0,30,14,150,5,16
사케라또 아포가토,Shakerato Affogato,민트 잎과 쉐이킹한 리저브 에스프레소를 바닐라 아이스크림에 부어 프레쉬함과 달콤함이 조화롭게 퍼지는 리저브 만의 디저트 음료,Tall(톨) /355ml,290,10,4,15,0,70,30,210,20,36
스파클링 시트러스 에스프레소,Sparkling Citrus Espresso,리저브 에스프레소에 상큼한 레몬과 진저에일을 더해 청량감과 시트러스 풍미를 가득 선사하는 커피 음료,Tall(톨) /355ml,65,0,0,0,0,5,15,105,0,16
에스프레소,Espresso,"스타벅스 에스프레소는 향기로운 크레마 층과 바디 층, 하트 층으로 이루어져 있으며, 입안 가득히 커피와 달콤한 카라멜 향이 느껴지는 커피 음료",Solo(솔로) /22ml,5,0,0,0,0,0,0,75,0,1
에스프레소 플라이트,Espresso Flight,스타벅스 리저브 에스프레소를 새롭고 다양하게 즐길 수 있는 에스프레소 플라이트,,-,-,-,-,-,-,-,-,-,-
에스프레소 플라이트 도산,ESPRESSO FLIGHT DOSAN,스타벅스 리저브 에스프레소를 새롭고 다양하게 즐길 수 있는 에스프레소 플라이트,,-,-,-,-,-,-,-,-,-,-
커피 스타벅스 더블 샷,Coffee Starbucks Double Shot,"신선하게 제조된 더블 샷 믹스에 클래식 시럽을 넣고 에스프레소 샷, 얼음이 어우러져 핸드 쉐이킹한 음료",207ml,125,4.5,2,6,0,30,14,150,5,16
클래식 아포가토,Classic Affogato,[리저브R 매장 전용음료] 리저브 에스프레소 투 샷이 바닐라 아이스크림과 진하게 어우러진 정통 아포가토,Tall(톨) /355ml,240,10,4,15,0,70,18,210,20,23
헤이즐넛 스타벅스 더블 샷,Hazelnut Starbucks Double Shot,"신선하게 제조된 더블 샷 믹스에 헤이즐넛 시럽을 넣고 에스프레소 샷, 얼음이 어우러져 핸드 쉐이킹한 음료",207ml,125,4.5,2,6,0,30,14,150,5,16
바나나 마카다미아 오트 프라푸치노,Banana Macadamia Oat Frappuccino,"로스티드 마카다미아, 오트와 진짜 바나나 한개를 통째로 넣어여행 전 달콤하고 든든하게 즐기는 공항 전용 프라푸치노",Grande(그란데) /473ml,330,0.9,3,6,0,350,46,0,0,62
월리 체리 푸딩 크림 프라푸치노,Wally Cherry Pudding Cream Frappuccino,"체리와 우유, 블루 바닐라 푸딩이 더해져체리의 상큼함과 바닐라의 부드러움이조화롭게 느껴지는 프라푸치노음료로 완성된 월리 그 자체!",Tall(톨) /355ml,305,13,4,17,0,170,30,0,20,34
초코 바나나 마카다미아 오트 프라푸치노,Choco Banana Macadamia Oat Frappuccino,"다크초콜릿,로스티드 마카다미아, 오트와진짜 바나나 한개를 통째로 넣어여행 전 달콤하고 든든하게 즐기는 공항 전용 프라푸치노",Grande(그란데) /473ml,325,0.7,3,5,0,350,45,5,0,61
더블 에스프레소 칩 프라푸치노,Double Espresso Chip Frappuccino,"리스트레토 에스프레소 2샷과 에스프레소 칩, 하프앤하프가 진하게 어우러진 커피의 기본에 충실한 프라푸치노",Tall(톨) /355ml,225,13,4,16,0,170,18,130,10,23
스타벅스 꿀 호떡 크림 프라푸치노,Starbucks Honey Hotteok Cream Frappuccino,"한국의 대표 길거리 음식의 친근하고 익숙한 호떡을 형상화한 음료로 어린시절 추억을 느끼며, 시나몬향과 고소한 견과류를 더욱 시원하게 즐길 수 있는 프라푸치노 음료",,325,10,6,15,0,180,26,0,15,47
에스프레소 프라푸치노,Espresso Frappuccino,풍부하고 진한 에스프레소 샷의 강렬함과달콤함이 어우러져 깊은 커피의 풍미를느낄 수 있는 프라푸치노,Tall(톨) /355ml,110,1.1,2,1.7,0,150,17,120,5,21
자바 칩 프라푸치노,Java Chip Frappuccino,"커피, 모카 소스, 진한 초콜릿 칩이 입안 가득 느껴지는 스타벅스에서만 맛볼 수 있는 프라푸치노",Tall(톨) /355ml,285,6,5,12,0,180,30,100,10,40
카라멜 프라푸치노,Caramel Frappuccino,카라멜과 커피가 어우러진 프라푸치노,Tall(톨) /355ml,225,8,3,10,0,180,24,85,10,28
딸기 글레이즈드 크림 프라푸치노,Strawberry Glazed Cream Frappuccino,상큼&달콤한 딸기와 부드러운 글레이즈드 소스에 바삭한 딸기 토핑을 얹은 프라푸치노.숙련된 바리스타의 솜씨로 그려낸 특별한 예술 작품을 감상해보세요.,Tall(톨) /355ml,315,9,5,12,0,250,37,5,30,52
베르가못 딸기 크림 프라푸치노,Bergamot Strawberry Cream Frappuccino,여름 수국의 사랑스러운 색감을 형상화한 음료로 은은하게 퍼지는 얼그레이의 플로럴향과 딸기의 상큼한 풍미가 느껴지는 음료,Grande(그란데) /473ml,420,13,5,17,0,260,50,0,15,62
베르가못 제주 말차 크림 프라푸치노,Bergamot Jeju Malcha Cream Frappuccino,자연과 어우러진 수국의 색감을 형상화한 음료로 제주산 말차와 함께 은은하게 퍼지는 얼그레이의 플로럴향으로 부드러운 맛을 즐길 수 있는 음료 (제주산 말차),Grande(그란데) /473ml,405,13,5,17,0,260,48,30,15,58
인절미 제주 말차 크림 프라푸치노,Injeolmi Jeju Malcha Cream Frappuccino,제주의 특산물인 말차와 한국의 전통적인 소재인 인절미 가루 (콩가루)를 활용한 음료로 고소한 풍미를 가득 느낄 수 있는 시원한 프라푸치노 음료 (제주산:말차),Grande(그란데) /473ml,442,11,8,16,0,330,50,37,15,58
제주 까망 크림 프라푸치노,Jeju Black Sesame Cream Frappuccino,"[제주 Only]쫄깃한 흑임자 떡과 블랙 소보로 토핑으로 컵빙수처럼 먹는 음료.고소한 흑임자와 쫄깃한 흑임자 떡, 달콤한 블랙 소보로 토핑으로 제주의 돌 하르방 길을 느낄 수 있는 음료",Grande(그란데) /473ml,505,8,11,21,0,380,48,0,15,89
제주 말차 크림 프라푸치노,Jeju Malcha Cream Frappuccino,깊고 진한 말차 본연의 맛과 향을시원하고 부드럽게 즐길 수 있는 프라푸치노,Tall(톨) /355ml,215,7,5,10,0,170,20,60,15,23
제주 쑥떡 크림 프라푸치노,Jeju Mugwort Cream Frappuccino,"[제주지역 한정음료] 쫄깃쫄깃한 흑임자 떡으로씹는 재미를 즐길 수 있는 음료로,고소한 흑임자와 쑥떡 토핑이 올라간 음료",Grande(그란데) /473ml,410,10,8,14,0,280,43,0,15,61
초콜릿 크림 칩 프라푸치노,Chocolate Cream Chip Frappuccino,"모카 소스와 진한 초콜릿 칩, 초콜릿 드리즐이 올라간 달콤한 크림 프라푸치노",Tall(톨) /355ml,275,7,6,12,0,180,27,10,15,34
화이트 타이거 프라푸치노,White Tiger Frappuccino,밀크 쉐이크 같은 부드럽고 달콤한 바닐라 크림 프라푸치노에 깊은 풍미의 단맛을 가진 흑당시럽이 어우러져 용인에버랜드 백호의 줄무늬를 형상화한 부드럽고 달콤한 프라푸치노* 용인에버랜드점에서만 판매하는 음료입니다,Grande(그란데) /473ml,385,7,6,13,0.3,240,50,0,20,60
망고 패션 프루트 블렌디드,Mango Passion Fruit Blended,망고 패션 프루트 주스와 블랙 티가 깔끔하게 어우러진 과일 블렌디드,Tall(톨) /355ml,180,0,2,1.1,0,105,36,10,0,42
북한산 레몬 얼 그레이 블렌디드,Bukhansan Lemon Earl Grey Blended,꼬냑 향을 가미한 상큼한 레모네이드와 은은한 얼 그레이 티가 어우러진 블렌디드 음료,Tall(톨) /355ml,110,0.1,0,0.2,0,10,25,8,0,28
스타벅스 클래식 밀크티 블렌디드,Starbucks Classic Milk Tea Blended,블랙티의 풍미와 향이 더욱 풍요롭게느껴질 수 있는 밀크티 블렌디드,Tall(톨) /355ml,315,13,3,16,0,55,37,60,10,40
여수 바다 유자 블렌디드,Yeosu Sea Yuja Blended,맑고 깨끗한 여수 경도의 낮 바다 풍경을 형상화한 음료로상큼하게 즐길 수 있는 유자 블렌디드 음료 (유자:국내산),Grande(그란데) /473ml,145,0,0,0.1,0,10,34,0,0,42
제주 탄제린 블렌디드,Jeju Tangerine Blended,"새콤달콤 한라봉, 천혜향과 탱글말랑 한라봉 젤리로 제주의 싱그러움을 담아 낸 음료",Grande(그란데) /473ml,260,0,1,0.3,0,25,43,0,0,84
딸기 딜라이트 요거트 블렌디드,Strawberry Delight Yogurt Blended,고농축 유산균의 부드러운 요거트와 딸기 본연의 상콤&달콤한 과육이 상큼하게 어우러진 리뉴얼 된 과일 요거트 블렌디드,Tall(톨) /355ml,255,3.5,7,6,0,100,38,0,15,42
